n_index,p_index,a1,a2,a3,a4,a5,Fy,Fx,Fz,Ty,Tx,Tz
7,0,128.0,632.0,778.0,725.0,107.0,-0.08084000000008194,2.7411999999987176,-0.1731200000038792,-0.26089100000006676,0.002191599999864109,-0.0008739899999996497
7,1,128.0,590.0,749.0,713.0,106.0,-0.08484000000008225,2.4821999999987137,-0.03712000000388685,-0.23185100000006656,0.0015115999998640765,-6.798999999964842e-05
7,2,126.0,550.0,728.0,706.0,105.0,-0.05384000000008219,2.452199999998714,0.5838799999961092,-0.2192910000000665,0.0029715999998640888,0.0003090100000003515
7,3,128.0,537.0,708.0,702.0,105.0,-0.05984000000008194,2.2321999999987163,0.36287999999610865,-0.20285100000006615,0.0019715999998640476,0.00041301000000035107
7,4,125.0,538.0,646.0,679.0,104.0,-0.0688400000000822,2.4361999999987143,0.7288799999960843,-0.22249100000006639,0.0023315999998640776,-0.0005619899999996489
7,5,126.0,495.0,448.0,636.0,103.0,-0.10384000000008226,2.349199999998718,1.060879999996096,-0.21513100000006607,-0.0014884000001359231,-0.0008089899999996484
7,6,127.0,345.0,268.0,520.0,104.0,-0.10684000000008204,2.3581999999987153,1.1928799999960875,-0.2127710000000665,-0.00502840000013592,-0.0018879899999996535
7,7,130.0,224.0,254.0,395.0,105.0,-0.1058400000000819,2.215199999998717,1.01287999999608,-0.19483100000006626,-0.002948400000135924,-0.00039298999999964846
7,8,132.0,146.0,178.0,269.0,106.0,-0.12184000000008213,2.424199999998715,0.8008799999961052,-0.20155100000006645,-0.006228400000135927,-0.000912989999999648
7,9,134.0,135.0,171.0,248.0,106.0,-0.1298400000000822,2.4121999999987156,0.7788799999960946,-0.19381100000006635,-0.008128400000135896,-0.0014199899999996497
7,10,136.0,107.0,115.0,223.0,106.0,-0.12084000000008219,2.410199999998714,0.002879999996097328,-0.1831910000000661,-0.00526840000013595,-0.0009649899999996486
8,0,128.0,631.0,778.0,725.0,106.0,-0.05184000000008191,2.724199999998718,0.10887999999611582,-0.2598910000000668,0.000991599999864077,-0.0022649899999996536
8,1,128.0,590.0,749.0,714.0,106.0,-0.07584000000008213,2.4631999999987153,-0.05212000000388249,-0.2288510000000661,0.003031599999864075,-0.0003539899999996485
8,2,127.0,549.0,727.0,705.0,104.0,-0.050840000000081945,2.4281999999987147,0.0018799999961129146,-0.22313100000006653,0.003991599999864061,-0.0015759899999996548
8,3,128.0,536.0,708.0,701.0,105.0,-0.036840000000082036,2.243199999998717,-0.14212000000389252,-0.20307100000006673,0.003331599999864069,0.0007770100000003511
8,4,125.0,537.0,645.0,679.0,103.0,-0.07984000000008237,2.441199999998714,0.36787999999609733,-0.22329100000006658,0.003171599999864073,0.0001660100000003511
8,5,126.0,494.0,447.0,636.0,103.0,-0.03484000000008191,2.337199999998718,0.48387999999608966,-0.21423100000006617,0.0007915999998641007,0.0002310100000003511
8,6,128.0,344.0,269.0,520.0,102.0,-0.11384000000008218,2.3691999999987177,0.8808799999960718,-0.2176910000000665,5.1599999864083413e-05,-0.002173989999999651
8,7,130.0,223.0,254.0,394.0,105.0,-0.1388400000000819,2.204199999998718,0.3968799999960916,-0.19469100000006628,-0.0036484000001359164,-0.0015239899999996496
